date,time,open,maximum,minimum,close,volume
04.01.1971,0:00,357.73,357.73,357.73,357.73,1
05.01.1971,0:00,357.81,357.81,357.81,357.81,1
06.01.1971,0:00,357.86,357.86,357.86,357.86,1
07.01.1971,0:00,357.87,357.87,357.87,357.87,1
08.01.1971,0:00,357.82,357.82,357.82,357.82,1
11.01.1971,0:00,357.95,357.95,357.95,357.95,1
12.01.1971,0:00,358.06,358.06,358.06,358.06,1
13.01.1971,0:00,358.44,358.44,358.44,358.44,1
14.01.1971,0:00,358.4,358.4,358.4,358.4,1
15.01.1971,0:00,358.4,358.4,358.4,358.4,1
18.01.1971,0:00,358.29,358.29,358.29,358.29,1
19.01.1971,0:00,358.35,358.35,358.35,358.35,1
20.01.1971,0:00,358.4,358.4,358.4,358.4,1
21.01.1971,0:00,358.27,358.27,358.27,358.27,1
22.01.1971,0:00,357.9,357.9,357.9,357.9,1
25.01.1971,0:00,357.73,357.73,357.73,357.73,1
26.01.1971,0:00,357.78,357.78,357.78,357.78,1
27.01.1971,0:00,357.79,357.79,357.79,357.79,1
28.01.1971,0:00,357.83,357.83,357.83,357.83,1
29.01.1971,0:00,357.72,357.72,357.72,357.72,1
01.02.1971,0:00,357.67,357.67,357.67,357.67,1
02.02.1971,0:00,357.55,357.55,357.55,357.55,1
03.02.1971,0:00,357.54,357.54,357.54,357.54,1
04.02.1971,0:00,357.51,357.51,357.51,357.51,1
05.02.1971,0:00,357.53,357.53,357.53,357.53,1
08.02.1971,0:00,357.49,357.49,357.49,357.49,1
09.02.1971,0:00,357.5,357.5,357.5,357.5,1
10.02.1971,0:00,357.5,357.5,357.5,357.5,1
11.02.1971,0:00,357.5,357.5,357.5,357.5,1
16.02.1971,0:00,357.53,357.53,357.53,357.53,1
17.02.1971,0:00,357.53,357.53,357.53,357.53,1
18.02.1971,0:00,357.53,357.53,357.53,357.53,1
19.02.1971,0:00,357.56,357.56,357.56,357.56,1
22.02.1971,0:00,357.6,357.6,357.6,357.6,1
23.02.1971,0:00,357.55,357.55,357.55,357.55,1
24.02.1971,0:00,357.6,357.6,357.6,357.6,1
25.02.1971,0:00,357.56,357.56,357.56,357.56,1
26.02.1971,0:00,357.56,357.56,357.56,357.56,1
01.03.1971,0:00,357.63,357.63,357.63,357.63,1
02.03.1971,0:00,357.56,357.56,357.56,357.56,1
03.03.1971,0:00,357.49,357.49,357.49,357.49,1
04.03.1971,0:00,357.45,357.45,357.45,357.45,1
05.03.1971,0:00,357.59,357.59,357.59,357.59,1
08.03.1971,0:00,357.55,357.55,357.55,357.55,1
09.03.1971,0:00,357.46,357.46,357.46,357.46,1
10.03.1971,0:00,357.59,357.59,357.59,357.59,1
11.03.1971,0:00,357.56,357.56,357.56,357.56,1
12.03.1971,0:00,357.58,357.58,357.58,357.58,1
15.03.1971,0:00,357.54,357.54,357.54,357.54,1
16.03.1971,0:00,357.49,357.49,357.49,357.49,1
